environment-infrastructure-test,1hx3_cycle,1hx3_round,1hx3_exec,1hx3_score,2hx3_cycle,2hx3_round,2hx3_exec,2hx3_score,4hx3_cycle,4hx3_round,4hx3_exec,4hx3_score
singularity-sdo-MI2,0,12,0,120,1,10,0,105,0,8,0,80
singularity-sdo-MI2,1,35,0,355,1,2,0,25,0,90,0,900
singularity-sdo-MI2,1,36,0,365,2,62,0,630,1,11,0,115
singularity-sdo-TB3,0,1,167,177,0,1,345,355,0,1,677,687
singularity-sdo-TB3,0,1,170,180,0,1,353,363,0,1,684,694
singularity-sdo-TB3,0,1,171,181,0,1,354,364,0,1,703,713
singularity-sdo-MI2,0,1,171,181,0,1,354,364,0,1,703,713
singularity-sdo-MI2,0,1,171,181,0,1,354,364,0,1,703,713
singularity-sdo-MI2,0,1,171,181,0,1,354,364,0,1,703,713
singularity-sdo-TB3,0,1,171,181,0,1,354,364,0,1,703,713
singularity-sdo-TB3,0,1,171,181,0,1,354,364,0,1,703,713
singularity-sdo-TB3,0,1,171,181,0,1,354,364,0,1,703,713
singularity-sdo-MI2,0,1,171,181,0,1,354,364,0,1,703,713
singularity-sdo-MI2,0,1,171,181,0,1,354,364,0,1,703,713
singularity-sdo-MI2,0,1,171,181,0,1,354,364,0,1,703,713
singularity-sdo-TB3,0,1,171,181,0,1,354,364,0,1,703,713
singularity-sdo-TB3,0,1,171,181,0,1,354,364,0,1,703,713
singularity-sdo-TB3,0,1,171,181,0,1,354,364,0,1,703,713
